"ID","Nom","Synonymes_existants","Code","Bdd","Comment_les_eviter_?","Qu'est-ce_que_j'en_fais_?","Que_va-t-il_devenir_?","nom_eco_organisme","filieres_REP"
"212","Magazine","Revue / Catalogue / Annuaire","ADEME_PAPIER","ademe",,"A déposer dans le bac, le sac ou le conteneur de collecte séparée, conformément aux consignes de tri de votre commune, sans le froisser ou le déchirer.<br /><br />Vous n'avez pas besoin de retirer les agrafes. Veillez cependant à retirer les éventuels CD et autres produits promotionnels pouvant être contenus à l'intérieur.","Le recyclage du papier se fait en 3 étapes : le pulpage et le défibrage, l'épuration et un éventuel désencrage (pour la fabrication de la pâte blanche). Après toutes ces étapes, les fibres peuvent rejoindre le procédé habituel de fabrication du papier. Elles sont déposées sur une toile en mouvement où elles s'égouttent pour former une feuille qui sera pressée et séchée sur des cylindres chauffés à la vapeur, pour ainsi fabriquer une nouvelle feuille de papier ou de carton.","Citeo / Léko","Papiers"
"343","Ticket (transport en commun)","Ticket de métro / Ticket de caisse","ADEME_PAPIER","ademe","Pour les tickets de transport en commun, si vous êtes un usager régulier, préférez les cartes d'abonnement (hebdomadaires, mensuelles ou annuelles) aux tickets. Dans certaines villes, un support rechargeable peut vous être proposé, évitant ainsi l'achat de tickets individuels.","Les tickets sont recyclables. Déposez-les dans le bac, le sac ou le conteneur de collecte du papier.","Le recyclage du papier se fait en 3 étapes : le pulpage et le défibrage, l'épuration et un éventuel désencrage (pour la fabrication de la pâte blanche). Après toutes ces étapes, les fibres peuvent rejoindre le procédé habituel de fabrication du papier. Elles sont déposées sur une toile en mouvement où elles s'égouttent pour former une feuille qui sera pressée et séchée sur des cylindres chauffés à la vapeur, pour ainsi fabriquer une nouvelle feuille de papier ou de carton.","Citeo / Léko","Papiers"
"129","Deux-roues (moto, scooter, mobylette)","Moto-cycle","ADEME_MOTO","ademe","Retardez le changement de votre véhicule en l'entretenant régulièrement conformément aux consignes du fabricant (vidange d'huile, révision...) et des obligations réglementaires (contrôle technique, notamment).","Confiez-le à un professionnel agréé pour traiter les véhicules hors d'usage (centre VHU), contre la remise d'un certificat de destruction (envoyé en copie à la préfecture). Il existe certaines entreprises spécialisées dans la récupération des 2 roues.","Votre véhicule est tout d'abord débarrassé des produits dangereux qu'il contient (huiles usagées, liquide de refroidissement, carburant...). Ceux-ci sont envoyés vers leurs installations de traitement respectives. Les pièces en bon état de fonctionnement sont récupérées, triées et vérifiées avant d'être réutilisées (moteurs, portières, phares...). Votre deux-roues est ensuite broyé afin de séparer les différentes matières qui le composent et les matières recyclables sont envoyées dans leurs filières de valorisation respectives.","Recycler Mon Véhicule","Véhicules"
"439","Climatiseur",,"GELECHORSFROID","ocad3e","Prolongez la vie de votre appareil en l’entretenant régulièrement. Assurez-vous dès l'achat qu'il bénéficie d'une bonne garantie réparation. Privilégiez un appareil démontable, donc plus facile à réparer, pour faire face à une éventuelle panne après expiration de la garantie. Depuis le 1er janvier 2021 un indicateur simple vous permet de savoir si le produit que vous voulez acheter est facilement réparable, grâce à une note sur 10. Il porte sur les produits suivants : lave-linge, lave-vaisselle, téléviseurs, aspirateurs, smartphones, ordinateurs portables, nettoyeurs haute pression et tondeuses à gazon. Un produit avec une note proche de 0 sera non réparable alors qu’un produit dont la note se rapproche de 10 sera très réparable.","S'il est encore en bon état, donnez-le à une association caritative ou un proche, ou bien revendez-le.<br /><br />S’il est en panne, privilégiez la réparation.<br /><br />S’il est hors-service, dans le cadre de l'achat d'un produit neuf, rapportez l'ancien matériel à votre revendeur ou remettez-le au livreur.<br /><br />Sinon, apportez-le en déchèterie.","Remis à une structure de réemploi, revendu ou réparé, votre appareil poursuit une seconde vie en tant que matériel d'occasion. <br /><br />Déposé en magasin, en déchèterie ou remis à un livreur, le matériel suit la filière des Déchets d'Équipements Électriques et Électroniques (DEEE). Il est acheminé jusqu'à un centre de traitement où il est démantelé, dépollué si nécessaire, et ses différents composants sont triés (métaux, plastiques, cartes électroniques). Les matériaux sont ensuite recyclés quand c’est possible (réutilisation dans de nouveaux produits). Ceux qui ne sont pas recyclables sont incinérés (avec le plus souvent récupération de chaleur pour produire de l'énergie) ou enfouis dans des installations de stockage de déchets (déchets ultimes ou substances polluantes ou réglementées).","Ecologic / Ecosystem","Equipements électriques et électroniques"
"77","Cageot, caissette en bois","cagette en bois","ADEME_BOIS","ademe","Les caissettes ou cagettes en bois peuvent être réutilisées plusieurs fois. N'hésitez pas à les rapporter au producteur ou au commerçant qui vous les a données pour qu'il puisse les réutiliser.","Utilisez les caissettes comme bois de chauffage ou dans un barbecue. Sinon, jetez-les dans la poubelle des ordures ménagères.
Si vous en avez plusieurs, déposez-les en déchetterie dans la zone dédiée au bois, afin qu'elles soient broyées en copeaux de bois qui peuvent par exemple servir à du paillage, ou à la création de panneaux agglomérés pour le mobilier.","Les caissettes jetées à la poubelle suivent l'une des filières d'élimination des ordures ménagères. Elles seront donc incinérées (avec le plus souvent récupération de chaleur pour produire de l'énergie) ou enfouies en installation de stockage de déchets.",,
"7","Aliments compostables","Laitages / Croutes de fromage / Fanes de légumes / Poisson (restes) / Épluchures / Fruits et légumes abîmés / Marcs de café / Sachets et feuilles de thés","ADEME_ALIMENTS","ademe","Surveillez les dates de péremption des denrées alimentaires en mettant systématiquement les produits à consommer le plus rapidement devant les autres, adaptez au mieux les quantités cuisinées, conservez les restes utilisables et cuisinez-les.<br/>Composter vos aliments vous permettra d'obtenir un amendement naturel pour votre jardin ou vos plantes en pots. Tous les aliments ne sont cependant pas compostables et certains ne le sont qu'en quantités réduites.","Compostez-les à domicile ou jetez-les dans un bac de compostage partagé, si cette dernière solution a été mise en place à proximité de votre domicile.<br />Vous pouvez aussi les donner comme nourriture à des animaux domestiques, si cela correspond à leur régime alimentaire.<br />Sinon, jetez-les dans la poubelle des ordures ménagères.
<br /><br />
Retrouvez dans cette vidéo les différentes solutions de compostage des déchets alimentaires :
<br /><br />
<iframe src=""https://www.youtube.com/embed/QktAhutKBJI?si=DwCtTjk86QPXo5Cd"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen style=""overflow: hidden; max-width: 800px; width: 100%; height: 315px;""></iframe>","Les matières en compostage sont transformées, en présence d'oxygène et d'eau, par des micro-organismes (bactéries, champignons, actinomycètes) et des organismes de plus grande taille (lombrics, acariens, cloportes, myriapodes, coléoptères et autres insectes). Les déchets perdent leur aspect d'origine et deviennent compost. Ce produit va contribuer, dans le sol, à renforcer le stock d'humus. Jetés avec les ordures ménagères, ils seront incinérés (avec le plus souvent récupération de chaleur pour produire de l'énergie) ou enfouis en installation de stockage de déchets.",,
"426","Fenêtre","Huisserie / Menuiserie vitrée","ADEME-BTP","sinoe",,"Faites enlever l'ancienne par l'installateur lors du changement de vos fenêtres.<br /><br />Sinon, apportez-la en déchèterie.","Les vitrages seront séparés de leur encadrement et le verre sera recyclé. Les encadrements pourront aussi faire l'objet d'un recyclage (bois, plastique ou métal). Dans certains cas, ces matériaux recyclés pourront servir à fabriquer de nouvelles fenêtres.",,"Bâtiment"
"366","Vitre",,"ADEME_VERRE","sinoe",,"Faites enlever votre ancien vitrage par l'installateur lors du changement de vos fenêtres.<br /><br />Sinon, apportez-le en déchèterie.","Les vitrages seront séparés de leur encadrement et le verre sera recyclé. Les encadrements pourront aussi faire l'objet d'un recyclage (bois, plastique ou métal). Dans certains cas, ces matériaux recyclés pourront servir à fabriquer de nouvelles fenêtres.",,"Bâtiment"
"298","Restes de repas","Restes","ADEME_ALIMENTS","ademe","Surveillez les dates de péremption des denrées alimentaires en mettant systématiquement les produits à consommer le plus rapidement devant les autres, adaptez au mieux les quantités cuisinées, conservez les restes utilisables et cuisinez-les.<br/>Les résidus d'aliments peuvent être compostés. Le compost réalisé vous permettra d'obtenir un amendement naturel pour votre jardin ou vos plantes en pots.","S'ils sont encore consommables, accommodez-les pour les servir à un autre repas. <br />Sinon, compostez-les à domicile ou jetez-les dans un bac de compostage partagé, si cette dernière solution a été mise en place à proximité de votre domicile.<br />Vous pouvez aussi les donner comme nourriture à des animaux familiers si cela correspond à leur régime alimentaire.<br /> En dernier recours, jetez-les dans la poubelle des ordures ménagères.
<br /><br />
Retrouvez dans cette vidéo les différentes solutions de compostage des déchets alimentaires :
<br /><br />
<iframe src=""https://www.youtube.com/embed/QktAhutKBJI?si=DwCtTjk86QPXo5Cd"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen style=""overflow: hidden; max-width: 800px; width: 100%; height: 315px;""></iframe>","Le compost, utilisé comme amendement biologique, contribue à améliorer la structure et la fertilité du sol. Jetés à la poubelle, les restes de repas suivent l'une des filières d'élimination des ordures ménagères : ils sont incinérés (avec le plus souvent récupération de chaleur pour produire de l'énergie) ou enfouis en installation de stockage de déchets.",,
"124","Déchets de préparation et restes de repas","Epluchures / Biodéchets / Déchets organiques / Légumes abîmés / Fruits abîmés / Aliments pourris / Déchets alimentaires","ADEME_ALIMENTS","ademe","Beaucoup de résidus alimentaires peuvent être valorisés par compostage : épluchures, coquilles d'oeufs, marc de café, filtres en papier, pain, laitages, croûtes de fromages, fanes de légumes, fruits et légumes abîmés, etc. Faire votre compost vous permettra d'obtenir un amendement naturel pour votre jardin ou vos plantes en pots.","Compostez les aliments à domicile ou jetez-les dans un bac de compostage partagé, si cette dernière solution a été mise en place à proximité de votre domicile. Sinon, jetez-les dans la poubelle des ordures ménagères.
<br /><br />
Retrouvez dans cette vidéo les différentes solutions de compostage des déchets alimentaires :
<br /><br />
<iframe src=""https://www.youtube.com/embed/QktAhutKBJI?si=DwCtTjk86QPXo5Cd"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen style=""overflow: hidden; max-width: 800px; width: 100%; height: 315px;""></iframe>","Le compost, utilisé comme amendement biologique, contribue à améliorer la structure et la fertilité du sol. Le compostage est donc l'option à privilégier.<br /><br />
Jetés à la poubelle, ces déchets alimentaires suivent l'une des filières d'élimination des ordures ménagères : ils sont incinérés (avec le plus souvent récupération de chaleur pour produire de l'énergie) ou enfouis en installation de stockage de déchets.",,
"335","Téléviseur","Télévision / TV","ECRANS","ocad3e","Assurez-vous à l'achat qu'il bénéficie d'une bonne garantie réparation et faites le durer autant que possible en l'entretenant régulièrement.<br />Choisissez un appareil portant l'Écolabel Européen ou EPEAT vous garantit un téléviseur pour lequel les éléments fixes sont plus facile à désassembler, une fois l'appareil arrivé en fin de vie, et dont les pièces en plastique sont recyclables.<br />Référez-vous également à l'indice de réparabilité qui attribue une note sur 10 qui informe les consommateurs du degré de réparabilité des produits qu’ils achètent. Un produit avec une note proche de 0 sera non réparable alors qu’un produit dont la note se rapproche de 10 sera très réparable.
<br /><br />
Retrouvez des conseils d'entretien de votre télévision pour prolonger sa durée de vie sur la <a href=""https://epargnonsnosressources.gouv.fr/entretien/televiseur/"" target=""_blank"">Bible de l'entretien des objets</a>.","S'il est encore en bon état, donnez-le à une association caritative ou un proche, ou bien revendez-le.<br /><br />S’il est en panne, privilégiez la réparation.<br /><br />S’il est hors-service, dans le cadre de l'achat d'un produit neuf, rapportez l'ancien matériel à votre revendeur ou remettez-le au livreur.<br /><br />Sinon, apportez-le en déchèterie.","Remis à une structure de réemploi, revendu ou réparé, votre appareil poursuit une seconde vie en tant que matériel d'occasion. <br /><br />Déposé en magasin, en déchèterie ou remis à un livreur, le matériel suit la filière des Déchets d'Équipements Électriques et Électroniques (DEEE). Il est acheminé jusqu'à un centre de traitement où il est démantelé, dépollué si nécessaire, et ses différents composants sont triés (métaux, plastiques, cartes électroniques). Les matériaux sont ensuite recyclés quand c’est possible (réutilisation dans de nouveaux produits). Ceux qui ne sont pas recyclables sont incinérés (avec le plus souvent récupération de chaleur pour produire de l'énergie) ou enfouis dans des installations de stockage de déchets (déchets ultimes ou substances polluantes ou réglementées).","Ecologic / Ecosystem","Equipements électriques et électroniques"
"211","Machine à laver","Lave-linge","GELECHORSFROID","ocad3e","Prolongez la vie de votre appareil en l’entretenant régulièrement. Assurez-vous dès l'achat qu'il bénéficie d'une bonne garantie réparation. Privilégiez un appareil démontable, donc plus facile à réparer, pour faire face à une éventuelle panne après expiration de la garantie. Depuis le 1er janvier 2021 un indicateur simple vous permet de savoir si le produit que vous voulez acheter est facilement réparable, grâce à une note sur 10. Il porte sur les produits suivants : lave-linge, lave-vaisselle, téléviseurs, aspirateurs, smartphones, ordinateurs portables, nettoyeurs haute pression et tondeuses à gazon. Un produit avec une note proche de 0 sera non réparable alors qu’un produit dont la note se rapproche de 10 sera très réparable.
<br /><br />
Retrouvez des conseils d'entretien de votre lave-linge pour prolonger sa durée de vie sur la <a href=""https://epargnonsnosressources.gouv.fr/entretien/lave-linge/"" target=""_blank"">Bible de l'entretien des objets</a>.","Si la machine est encore en bon état, donnez-la à une association caritative ou un proche, ou bien revendez-la.<br /><br />Si elle est en panne, privilégiez la réparation.<br /><br />Si elle est hors-service, dans le cadre de l'achat d'un produit neuf, rapportez l'ancien matériel à votre revendeur ou remettez-le au livreur.<br /><br />Sinon, apportez-la en déchèterie.","Remis à une structure de réemploi, revendu ou réparé, votre lave-linge poursuit une seconde vie en tant que matériel d'occasion. <br /><br />Déposé en magasin, en déchèterie ou remis à un livreur, le matériel suit la filière des Déchets d'Équipements Électriques et Électroniques (DEEE). Il est acheminé jusqu'à un centre de traitement où il est démantelé, dépollué si nécessaire, et ses différents composants sont triés (métaux, plastiques, cartes électroniques). Les matériaux sont ensuite recyclés quand c’est possible (réutilisation dans de nouveaux produits). Ceux qui ne sont pas recyclables sont incinérés (avec le plus souvent récupération de chaleur pour produire de l'énergie) ou enfouis dans des installations de stockage de déchets (déchets ultimes ou substances polluantes ou réglementées).","Ecologic / Ecosystem","Equipements électriques et électroniques"
"24","Aspirateur","Equipement d'entretien","DEEE","ocad3e","Prolongez la vie de votre appareil en l’entretenant régulièrement. Assurez-vous dès l'achat qu'il bénéficie d'une bonne garantie réparation. Privilégiez un appareil démontable, donc plus facile à réparer, pour faire face à une éventuelle panne après expiration de la garantie. Depuis le 1er janvier 2021 un indicateur simple vous permet de savoir si le produit que vous voulez acheter est facilement réparable, grâce à une note sur 10. Il porte sur les produits suivants : lave-linge, lave-vaisselle, téléviseurs, aspirateurs, smartphones, ordinateurs portables, nettoyeurs haute pression et tondeuses à gazon. Un produit avec une note proche de 0 sera non réparable alors qu’un produit dont la note se rapproche de 10 sera très réparable.
<br /><br />
Retrouvez des conseils d'entretien de votre aspirateur pour prolonger sa durée de vie sur la <a href=""https://epargnonsnosressources.gouv.fr/entretien/aspirateur/"" target=""_blank"">Bible de l'entretien des objets</a>.","S'il est encore en bon état, donnez-le à une association caritative ou un proche, ou bien revendez-le.<br /><br />S’il est en panne, privilégiez la réparation.<br /><br />S’il est hors-service, dans le cadre de l'achat d'un produit neuf, rapportez l'ancien matériel à votre revendeur ou remettez-le au livreur.<br /><br />Sinon, apportez-le en déchèterie.","Remis à une structure de réemploi, revendu ou réparé, votre appareil poursuit une seconde vie en tant que matériel d'occasion.<br /><br />Déposé en magasin, en déchèterie ou remis à un livreur, le matériel suit la filière des Déchets d'Équipements Électriques et Électroniques (DEEE). Il est acheminé jusqu'à un centre de traitement où il est démantelé, dépollué si nécessaire, et ses différents composants sont triés (métaux, plastiques, cartes électroniques). Les matériaux sont ensuite recyclés quand c’est possible (réutilisation dans de nouveaux produits). Ceux qui ne sont pas recyclables sont incinérés (avec le plus souvent récupération de chaleur pour produire de l'énergie) ou enfouis dans des installations de stockage de déchets (déchets ultimes ou substances polluantes ou réglementées).","Ecologic / Ecosystem","Equipements électriques et électroniques"
"334","Téléphone mobile","Smartphone","DEEE","ocad3e","Assurez-vous à l'achat qu'il bénéficie d'une bonne garantie réparation et faites le durer autant que possible.
En cas de panne, faites-le réparer. Pour faciliter la réparation, à l'achat, privilégiez un appareil démontable. Pour les smartphone, un indicateur simple vous permet de savoir si celui que vous voulez acheter est facilement réparable, grâce à une note sur 10 indiquant son ""indice de réparabilité"".
<br /><br />
Retrouvez des conseils d'entretien de votre téléphone pour prolonger sa durée de vie sur la <a href=""https://epargnonsnosressources.gouv.fr/entretien/smartphone/"" target=""_blank"">Bible de l'entretien des objets</a>.","S'il est encore en bon état, donnez-le à une association caritative ou un proche, ou bien revendez-le.<br /><br />S’il est en panne, privilégiez la réparation.<br /><br />S’il est hors-service :<br /><br />-	déposez-le en boutique de téléphonie ou via le service de reprise à distance de votre opérateur.<br /><br />-	Utilisez le service : <a href=""https://jedonnemontelephone.fr"" target=""_blank"">jedonnemontelephone.fr</a><br /><br />
Sinon, apportez-le en déchèterie.","Remis à une structure de réemploi ou revendu, votre appareil poursuit une seconde vie. Déposé en déchèterie ou remis à un revendeur, il suit la filière des Déchets d'Équipements Électriques et Électroniques (DEEE). Il est alors acheminé jusqu'à un centre de traitement où il est démantelé et ses différents composants recyclables récupérés (métaux et plastiques). Les substances non-recyclables sont incinérées (avec le plus souvent récupération de chaleur pour produire de l'énergie) ou enfouies dans des installations de stockage de déchets.","Ecologic / Ecosystem","Equipements électriques et électroniques"
"241","Ordinateur portable","PC portable","DEEE","ocad3e","Assurez-vous à l'achat qu'il bénéficie d'une bonne garantie réparation et faites le durer autant que possible en l'entretenant régulièrement.<br />En cas de panne, faites-le réparer. Pour faciliter la réparation, à l'achat, privilégiez un appareil démontable. Un indicateur simple vous permet de savoir si l'ordinateur portable que vous voulez acheter est facilement réparable, grâce à une note sur 10 indiquant son ""indice de réparabilité"".
<br /><br />
Retrouvez des conseils d'entretien de votre ordinateur pour prolonger sa durée de vie sur la <a href=""https://epargnonsnosressources.gouv.fr/entretien/ordinateur/"" target=""_blank"">Bible de l'entretien des objets</a>.","S'il est encore en bon état, remettez-le à une structure de réemploi ou revendez-le.<br /><br />Dans le cadre de l'achat d'un produit neuf, rapportez l'ancien à votre revendeur.<br /><br />Sinon, apportez-le en déchèterie.
<br /><br />
S'il est juste en panne, il est certainement réparable (remplacement d'écran, de disque dur ou SSD, de l'alimentation...). Apportez-le chez un réparateur. Certains réparateurs peuvent même vous faire bénéficier d'une réduction via le Bonus Réparation.","Remis à une structure de réemploi ou revendu, votre appareil poursuit une seconde vie en tant que matériel d'occasion. Déposé en déchèterie ou remis à un revendeur, il suit la filière des Déchets d'Équipements Électriques et Électroniques (DEEE). Il est alors acheminé depuis les points de collecte jusqu'à des centres de traitement où il est démantelé et ses différents composants recyclables récupérés (métaux et plastiques). Les substances non-recyclables sont incinérées (avec le plus souvent récupération de chaleur pour produire de l'énergie) ou enfouies dans des installations de stockage de déchets.","Ecologic / Ecosystem","Equipements électriques et électroniques"
